,Quantity,Location,Type
0,5,Parker,Pistachio
1,8,Parker,Pistachio
2,6,Parker,Pistachio
3,4,Parker,Pistachio
4,2,Parker,Pistachio
5,1,Parker,Pistachio
6,3,Denver,Pistachio
7,9,Denver,Pistachio
8,5,Denver,Pistachio
9,7,Denver,Pistachio
10,4,Denver,Pistachio
11,6,Vail,Pistachio
12,2,Vail,Pistachio
13,8,Vail,Pistachio
14,4,Vail,Pistachio
15,6,Vail,Pistachio
16,8,Parker,Walnut
17,2,Parker,Walnut
18,1,Parker,Walnut
19,9,Parker,Walnut
20,3,Parker,Walnut
21,7,Parker,Walnut
22,5,Denver,Walnut
23,6,Denver,Walnut
24,8,Denver,Walnut
25,4,Denver,Walnut
26,2,Denver,Walnut
27,6,Denver,Walnut
28,5,Denver,Walnut
29,9,Vail,Walnut
30,8,Vail,Walnut
31,4,Vail,Walnut
32,2,Vail,Walnut
33,5,Vail,Walnut
34,7,Parker,Cashew
35,1,Parker,Cashew
36,6,Parker,Cashew
37,5,Denver,Cashew
38,9,Denver,Cashew
39,8,Denver,Cashew
40,4,Denver,Cashew
41,2,Denver,Cashew
42,3,Vail,Cashew
43,5,Vail,Cashew
44,6,Vail,Cashew
45,8,Vail,Cashew
